,searchVolume,countDaumADs,tistoryRank,provider,depth
넥슨게임즈 인재상,81100,0,1,googleOpenKeywords,1
넥슨 비전,6230000,0,1,googleOpenKeywords,1
넥슨 핵심가치,1040000,0,11,googleOpenKeywords,0
넷마블 인재상,158000,0,10,googleOpenKeywords,1
넥슨 게임즈 대표,3490000,0,not Defined,daumOpenKeywords,1
넥슨 게임즈 매각,589000,0,1,daumOpenKeywords,1
넥슨 게임즈 신작,3320000,0,10,daumOpenKeywords,1
넥슨게임즈 복지,924000,0,1,googleOpenKeywords,1
넥슨게임즈 연봉,599000,0,9,googleOpenKeywords,1
넥슨게임즈 채용,3080000,0,1,googleOpenKeywords,1
넥슨게임즈 블라인드,209000,0,14,googleOpenKeywords,1
넥슨 경영이념,772000,0,7,googleOpenKeywords,1
넥슨 인재상,84800,2,1,googleOpenKeywords,0
넥슨 유정현 학력,1170,0,5,googleSuggestKeywords,1
넥슨 유정현 프로필,2750,0,3,googleOpenKeywords,1
유정현 부인,31200,0,11,googleOpenKeywords,1
유정현,230000,0,9,daumOpenKeywords,1
넥슨 김정주 프로필,92500,0,3,daumOpenKeywords,1
넥슨 김정주 회장,168000,0,9,daumOpenKeywords,1
넥슨 김정주 결혼,145000,0,7,googleSuggestKeywords,1
김정주 자녀,63100,0,8,googleOpenKeywords,1
넥슨 김정주 사망 원인,121000,0,1,googleOpenKeywords,0
넥슨 김정주 부인,111000,0,8,googleOpenKeywords,0
넥슨 대표 사망,1840000,0,1,googleOpenKeywords,1
김정주 사망 디시,3730,0,1,googleOpenKeywords,1
김정주 가족 사진,206000,0,12,googleOpenKeywords,1
김정주 재산,141000,0,10,googleOpenKeywords,1
김정주,1160000,2,11,daumOpenKeywords,0
넥슨 회장 사망,617000,0,10,daumOpenKeywords,1
넥슨 회장 사망 원인,733000,0,9,googleOpenKeywords,0
김정주 우울증,48700,0,1,googleOpenKeywords,1
네이버 공동창업자,2300000,0,9,daumOpenKeywords,1
김정주 사망,150000,0,10,daumSuggestKeywords,1
김정준,309000,0,9,daumSuggestKeywords,1
김정주 사망 이유,123000,0,1,googleOpenKeywords,1
블루아카이브 조력자 추천,179000,0,1,googleOpenKeywords,1
블루아카 조력자 설정,65300,0,2,googleOpenKeywords,1
블루아카이브 조력자 횟수,13400,0,1,googleSuggestKeywords,1
조력자 반대말,11500,2,1,daumOpenKeywords,1
조력자 뜻,877000,0,8,daumOpenKeywords,1
조력자 폿,36700,0,1,googleOpenKeywords,1
조력자 수치,404000,0,1,googleSuggestKeywords,1
조력자 갈망,76500,0,1,googleSuggestKeywords,1
로아 조력자 카드,57700,0,1,googleOpenKeywords,1
도화가 숭고한 조력자,NODATA,0,1,googleOpenKeywords,1
블루아카이브 조력자 친구,NODATA,0,1,googleOpenKeywords,1
한상호 그레고리오 신부,NODATA,0,1,daumOpenKeywords,1
그레고리오 성가,NODATA,8,1,daumOpenKeywords,1
그레고리오 축일,NODATA,0,1,daumOpenKeywords,1
블루아카이브 조력자 설정,50300,0,1,googleOpenKeywords,1
블아 점령전 조력자,5830,0,1,googleOpenKeywords,1
넥슨lv2고딕 otf,1300,0,1,googleOpenKeywords,1
넥슨고딕 다운로드,57000,0,1,googleOpenKeywords,1
넥슨 폰트 다운로드,2490000,0,1,googleOpenKeywords,0
NEXON Lv.2 Gothic Bold.,16100,0,1,googleOpenKeywords,1
넥슨 Lv.2 고딕 다운로드,9830,0,1,googleOpenKeywords,1
넥슨lv1고딕 다운,1570,0,1,googleOpenKeywords,1
넥슨고딕 lv2,5190,0,1,googleOpenKeywords,1
넥슨 판교,797000,0,9,daumOpenKeywords,1
넥슨 본사 일본,482000,0,1,daumOpenKeywords,1
넥센 본사,311000,0,11,daumOpenKeywords,1
넥슨 본사,830000,2,12,daumOpenKeywords,0
넥슨 제주도 본사,328000,0,1,daumSuggestKeywords,1
넥슨 코리아 본사,561000,1,16,daumSuggestKeywords,1
넥슨코리아 본사,561000,3,15,googleOpenKeywords,1
넥슨 본사 위치,514000,0,10,googleSuggestKeywords,1
넥슨 채용,4940000,5,1,googleOpenKeywords,0
넥슨코리아 주소,4040000,1,9,googleOpenKeywords,1
넥슨 본사 판교,264000,0,9,googleOpenKeywords,1
이정헌,5220000,0,8,daumOpenKeywords,1
넥슨 대표이사,3680000,0,15,googleSuggestKeywords,1
넥슨 이정헌 학력,6760,0,10,googleOpenKeywords,1
넥슨코리아 대표,5080000,3,7,googleOpenKeywords,1
넥슨 코리아,8490000,7,1,daumSuggestKeywords,1
넥슨 고객센터,5520000,0,1,daumOpenKeywords,1
넥슨 홈페이지 보호자 동의,32500,0,1,googleOpenKeywords,1
넥슨 피파,4330000,0,14,googleOpenKeywords,1
넥슨 홈페이지 해킹,656000,0,10,googleOpenKeywords,1
넥슨 드림 멤버스,51800,0,1,googleSuggestKeywords,1
넥슨코리아,7640000,7,1,googleOpenKeywords,0
넥슨 코리아 주가,711000,0,13,daumOpenKeywords,1
넥슨 코리아 연봉,918000,2,11,daumOpenKeywords,1
넥슨 코리아 채용,4110000,4,1,daumSuggestKeywords,1
넥슨 코리아 복지,1220000,0,1,daumSuggestKeywords,1
넥슨코리아 채용,3430000,4,1,googleOpenKeywords,1
넥슨코리아 주가,638000,0,13,googleOpenKeywords,1
넷마블 채용,3270000,3,13,daumOpenKeywords,1
카카오 채용,55300000,2,1,daumOpenKeywords,1
넥슨 채용공고,398000,3,1,daumSuggestKeywords,1
넥슨 입사 스펙,47500,0,11,googleOpenKeywords,1
넥슨 논란 디시,834000,0,10,googleOpenKeywords,0
,NODATA,0,1,googleSuggestKeywords,1
메이플 사태 요약,2450000,0,16,googleOpenKeywords,1
메이플 확률조작 정리,494000,0,1,googleSuggestKeywords,1
넥슨 문제점,647000,0,10,googleSuggestKeywords,1
넥슨 뿌리 사태,832000,0,1,googleOpenKeywords,1
넥슨 사태 정리,1030000,0,7,googleOpenKeywords,0
넥슨 페미 논란,627000,0,10,googleOpenKeywords,1
다크앤다커 논란 정리,164000,0,11,googleOpenKeywords,1
여혐,2780000,0,1,daumOpenKeywords,1
넥슨 뿌리,1980000,0,1,daumOpenKeywords,0
스튜디오 뿌리,2470000,13,1,daumOpenKeywords,1
남혐 손가락,203000,0,15,googleSuggestKeywords,1
남혐 손가락 뜻,25700,1,19,daumSuggestKeywords,1
남혐,1670000,0,9,daumOpenKeywords,0
남혐 논란,608000,0,12,googleSuggestKeywords,1
남혐민국,9860,0,1,googleSuggestKeywords,1
넥슨 페미,2320000,0,12,daumOpenKeywords,1
넥슨 손가락,2830000,0,10,daumOpenKeywords,1
넥슨 여직원,339000,0,1,daumOpenKeywords,1
포스코 페미 논란,29800,0,10,googleSuggestKeywords,1
페미 논란 때문에,2030000,0,9,googleSuggestKeywords,1
페미 논란 게임,7200000,0,12,googleSuggestKeywords,1
넥슨 논란,8720000,0,8,daumOpenKeywords,1
넥슨 기자회견,785000,0,7,daumOpenKeywords,1
넥슨 뿌리 근황,542000,0,7,googleOpenKeywords,1
넥슨 뿌리 디시,315000,0,10,googleOpenKeywords,1
넥슨 뿌리 블라인드,318000,0,1,googleOpenKeywords,1
메이플 15일 정지,5970000,0,1,googleOpenKeywords,0
메이플 비정상 기록 탐지(일반),3740,0,1,googleOpenKeywords,1
메이플 정지 기간,1240000,0,10,googleOpenKeywords,1
메이플 15일 정지 풀기,1020000,0,1,googleOpenKeywords,1
메이플 정지 풀기,455000,0,1,googleOpenKeywords,0
메이플 채금 대화,4920,0,1,googleOpenKeywords,1
메이플 채금 사유 확인,4560,0,1,googleOpenKeywords,1
