,searchVolume,countDaumADs,tistoryRank,provider,depth
넥슨 게임즈 대표,3490000,0,not Defined,daumOpenKeywords,1
넥슨 게임즈 매각,583000,0,1,daumOpenKeywords,1
넥슨게임즈 복지,924000,0,1,googleOpenKeywords,1
넥슨게임즈 연봉,585000,0,9,googleOpenKeywords,1
넥슨 경영이념,772000,0,7,googleSuggestKeywords,1
넥슨 비전,6230000,0,1,googleSuggestKeywords,1
유정현,230000,0,9,daumOpenKeywords,1
넥슨 김정주 프로필,103000,0,3,daumOpenKeywords,1
넥슨 유정현 학력,1170,0,7,googleOpenKeywords,1
넥슨 유정현 프로필,3080,0,3,googleOpenKeywords,1
넥슨 김정주 사망 원인,98800,0,1,googleOpenKeywords,0
넥슨 김정주 부인,111000,0,8,googleOpenKeywords,0
김정주 사망 디시,3730,0,1,googleOpenKeywords,1
김정주 가족 사진,205000,0,13,googleSuggestKeywords,1
네이버 공동창업자,1720000,0,9,daumOpenKeywords,1
넥슨 회장 사망,617000,0,10,daumOpenKeywords,1
김정주 자녀,70400,0,8,googleOpenKeywords,1
김정주,1040000,2,11,daumOpenKeywords,0
김정주 사망,141000,0,10,daumSuggestKeywords,1
김정주 재산,177000,0,8,googleOpenKeywords,1
김정주 사망 이유,123000,0,1,googleOpenKeywords,1
조력자 반대말,9370,2,1,daumOpenKeywords,1
조력자 뜻,732000,0,8,daumOpenKeywords,1
블루아카이브 조력자 추천,179000,0,1,googleOpenKeywords,1
블루아카이브 조력자 친구,67400,0,1,googleSuggestKeywords,1
블루아카이브 조력자 횟수,13400,0,1,googleOpenKeywords,1
한상호 그레고리오 신부,446,0,7,daumOpenKeywords,1
그레고리오 성가,63500,6,1,daumOpenKeywords,1
그레고리오 미네,54700,0,8,googleOpenKeywords,1
그레고리오 공략,121000,0,5,googleOpenKeywords,1
넥슨lv2고딕 otf,1300,0,1,googleOpenKeywords,1
넥슨고딕 다운로드,57100,0,1,googleOpenKeywords,1
넥슨 Lv.2 고딕 다운로드,9830,0,1,googleOpenKeywords,1
넥슨lv1고딕 다운,1570,0,1,googleOpenKeywords,1
이정헌,4160000,0,12,daumOpenKeywords,1
넥슨 대표이사,3680000,0,15,googleSuggestKeywords,1
넥슨 대표 사망,1840000,0,1,googleOpenKeywords,1
넥슨코리아 대표,3680000,1,7,googleOpenKeywords,1
넥슨 코리아,6920000,7,1,daumSuggestKeywords,1
넥슨 본사,830000,0,12,daumOpenKeywords,1
넥슨 홈페이지,5200000,6,1,daumOpenKeywords,0
넥슨 피파온라인4 홈페이지,379000,0,1,daumSuggestKeywords,1
넥슨 홈페이지 보호자 동의,30100,0,1,googleOpenKeywords,1
넥슨 피파,3630000,0,14,googleOpenKeywords,1
넥슨 코리아 주가,716000,0,13,daumOpenKeywords,1
넥슨 코리아 연봉,NODATA,0,1,daumOpenKeywords,1
넥슨 코리아 채용,NODATA,2,1,daumSuggestKeywords,1
넥슨코리아 채용,NODATA,4,1,googleOpenKeywords,1
넥슨코리아 주가,NODATA,0,1,googleOpenKeywords,1
넷마블 채용,NODATA,1,1,daumOpenKeywords,1
카카오 채용,NODATA,0,1,daumOpenKeywords,1
넥슨 채용,NODATA,5,1,googleOpenKeywords,0
넥슨 채용공고,NODATA,1,1,daumSuggestKeywords,1
넥슨게임즈 채용,NODATA,0,1,googleOpenKeywords,1
넥슨 입사 스펙,NODATA,1,1,googleSuggestKeywords,1
메이플 사태 요약,NODATA,0,1,googleOpenKeywords,1
메이플 확률조작 정리,494000,0,1,googleSuggestKeywords,1
넥슨 문제점,576000,0,10,googleOpenKeywords,1
넥슨 사태 정리,1030000,0,21,googleOpenKeywords,0
넥슨 페미 논란,763000,0,10,googleSuggestKeywords,1
다크앤다커 논란 정리,143000,0,10,googleOpenKeywords,1
넥슨 페미,2320000,0,12,daumOpenKeywords,1
넥슨 손가락,2990000,0,10,daumOpenKeywords,1
포스코 페미 논란,29800,0,10,googleSuggestKeywords,1
페미 논란 때문에,2030000,0,9,googleSuggestKeywords,1
넥슨 논란,8720000,0,8,daumOpenKeywords,1
남혐,1480000,0,9,daumOpenKeywords,1
넥슨 뿌리 근황,542000,0,7,googleOpenKeywords,1
넥슨 뿌리 디시,332000,0,10,googleOpenKeywords,1
메이플 비정상 기록 탐지(일반),3740,0,1,googleOpenKeywords,1
메이플 15일 정지 풀기,1020000,0,1,googleSuggestKeywords,1
메이플 정지 풀기,398000,0,1,googleOpenKeywords,1
메이플 채금 대화,4920,0,1,googleOpenKeywords,1
메이플 채금 사유 확인,4560,0,1,googleOpenKeywords,1
,NODATA,0,1,googleSuggestKeywords,0
메이플 채금 말하는법,10500,0,1,googleOpenKeywords,0
메이플 15일 정지,6680000,0,1,googleOpenKeywords,0
넥슨 뿌리,1970000,0,1,daumOpenKeywords,0
페미 논란,5450000,0,8,daumOpenKeywords,0
넥슨 논란 정리,7540000,0,9,googleOpenKeywords,0
넥슨코리아,7610000,7,1,googleOpenKeywords,0
넥슨 대표,8640000,0,8,daumOpenKeywords,0
넥슨 폰트 다운로드,2450000,0,1,googleOpenKeywords,0
넥슨고딕2,76700,0,1,googleOpenKeywords,0
그레고리오 조력자,32600,0,7,googleOpenKeywords,0
조력자 보상,514000,0,6,googleOpenKeywords,0
넥슨 공동창업자,437000,0,9,daumOpenKeywords,0
넥슨 회장 사망 원인,536000,0,12,googleSuggestKeywords,0
넥슨 유정현,30000,0,9,googleOpenKeywords,0
넥슨 핵심가치,1040000,0,9,googleOpenKeywords,0
넥슨 넥슨게임즈 차이,1100000,0,11,googleOpenKeywords,0
