,searchVolume,countDaumADs,tistoryRank,provider,depth
¹Ì½¶·© 2½ºÅ¸ ÇÑ±¹,942000,0,1,daumOpenKeywords,1
°¡¿Â,9690000,12,12,daumOpenKeywords,1
´ë¸¸ ¹Ì½¶·© 3½ºÅ¸,8680000,0,not Defined,daumOpenKeywords,1
ÇÑ±¹ ¹Ì½¶·© ½Ä´ç,235000,0,10,googleOpenKeywords,1
¹Ì½¶·© 5½ºÅ¸ ÇÑ±¹,608000,0,2,googleOpenKeywords,1
¹Ì½¶·© 1½ºÅ¸ ÇÑ±¹,676000,0,1,googleSuggestKeywords,1
¹Ì½¶·© 3½ºÅ¸ °¡°Ý,762000,0,12,googleOpenKeywords,1
¹Ì½¶·© 3½ºÅ¸ ¼­¿ï,6310000,0,15,googleSuggestKeywords,1
ÇÑ±¹ ¹Ì½¶·© 3½ºÅ¸ 2023,530000,0,1,googleOpenKeywords,1
¹Ì½¦¸° °¡ÀÌµå º÷ ±¸¸£¸Á,62600,0,7,daumOpenKeywords,1
¹Ì½¦¸° °¡ÀÌµå ¼­¿ï 2023,870000,5,1,daumSuggestKeywords,0
¼­¿ï ¹Ì½¦¸° 3½ºÅ¸,7610000,0,14,daumOpenKeywords,1
¹Ì½¦¸° ÄÚ¸®¾Æ,982000,4,1,daumOpenKeywords,1
¹Ì½¦¸° °¡ÀÌµå ¼­¿ï 2024 ¸®½ºÆ®,725000,0,9,googleSuggestKeywords,1
¹Ì½¦¸° °¡ÀÌµå 2024,706000,3,1,googleOpenKeywords,0
¹Ì½¦¸° °¡ÀÌµå ¼­¿ï 2024 Áöµµ,652000,0,12,googleOpenKeywords,1
¹Ì½¦¸° °¡ÀÌµå Áöµµ,522000,0,1,googleOpenKeywords,0
¹Ì½¦¸° ÇÁ¸®¹Ì¾î,44100000,2,1,daumOpenKeywords,1
¹Ì½¦¸° Åõ¾îas,49900000,1,1,daumOpenKeywords,1
¹Ì½¦¸° °¡ÀÌµå ¼­¿ï 2024,645000,0,1,googleSuggestKeywords,0
¹Ì½¦¸°°¡ÀÌµå ºÎ»ê,723000,0,12,googleOpenKeywords,1
¹Ì½¦¸° °¡ÀÌµå ¼­¿ï,1100000,5,18,googleOpenKeywords,0
¹Ì½¦¸° °¡ÀÌµå ºÎ»ê,659000,0,12,daumSuggestKeywords,0
¹Ì½¦¸°°¡ÀÌµå ¼­¿ï 2024,706000,0,1,googleSuggestKeywords,1
¹Ì½¶·© º÷±¸¸£¸Á Áöµµ,7800,0,1,googleOpenKeywords,1
ºÎ»ê ¹Ì½¶·©,569000,1,11,googleOpenKeywords,1
¹Ì½¶·©°¡ÀÌµå ¼­¿ï 2023,219000,0,1,daumOpenKeywords,1
¹Ì½¶·© °¡ÀÌµå ¼­¿ï 2023 Áöµµ,46300,0,1,googleOpenKeywords,1
¹Ì½¶·© °¡ÀÌµå ¼­¿ï 2023 ¸®½ºÆ®,45000,0,9,googleOpenKeywords,1
¹Ì½¶·© º÷±¸¸£¸Á 2023,10100,0,1,googleSuggestKeywords,1
¹Ì½¶·© °¡ÀÌµå ¼­¿ï 2024 ¸®½ºÆ®,691000,0,9,googleSuggestKeywords,1
¹Ì½¦¸° °¡ÀÌµå ¼­¿ï 2023 pdf,879000,0,8,googleOpenKeywords,1
¹Ì½¶·© °¡ÀÌµå,640000,6,1,daumOpenKeywords,0
¹Ì½¦¸° °¡ÀÌµå ÇÑ±¹,896000,3,1,daumOpenKeywords,0
¹Ì½¦¸° °¡ÀÌµå,1040000,8,14,daumSuggestKeywords,0
¹Ì½¶·© 3½ºÅ¸ ÇÑ±¹,649000,0,10,googleOpenKeywords,0
¼­¿ï ¹Ì½¶·© ¸ÀÁý,408000,0,18,googleOpenKeywords,1
¹Ì½¶·© ÇÑ±¹ ¸®½ºÆ®,281000,0,9,googleOpenKeywords,1
¹Ì½¶·© ¶æ,232000,0,7,googleSuggestKeywords,1
ÇÑ±¹ ¹Ì½¶·© 3½ºÅ¸,697000,3,7,googleOpenKeywords,1
ºÎ»ê ¹Ì½¶·© ½ºÅ¸,699000,0,14,googleOpenKeywords,1
ºÎ»ê ¹Ì½¶·© º÷±¸¸£¸Á,5190,0,1,googleOpenKeywords,1
ºÎ»ê ¹Ì½¶·© ½Ä´ç,258000,0,16,googleOpenKeywords,1
ºÎ»ê ¹Ì½¶·© ¸ÀÁý,282000,0,12,googleOpenKeywords,1
¹Ì½¶·© °¡ÀÌµå ºÎ»ê,586000,0,21,daumSuggestKeywords,1
¹Ì½¶·© °¡ÀÌµå ´ë¸¸,5680000,0,9,daumOpenKeywords,1
¹Ì½¶·© °¡ÀÌµå °æ±â,289000,0,4,daumOpenKeywords,1
¹Ì½¶·© °¡ÀÌµå ¼­¿ï 2023,147000,0,1,googleOpenKeywords,1
¹Ì½¶·© °¡ÀÌµå ´ë±¸,274000,0,not Defined,daumSuggestKeywords,1
¹Ì½¶·© ÇÑ±¹,627000,1,1,googleOpenKeywords,1
¹Ì½¶·© °¡ÀÌµå ÇÑ±¹,6730000,0,1,googleSuggestKeywords,1
¹Ì½¶·© °¡ÀÌµå ¸®½ºÆ®,26600000,0,11,googleOpenKeywords,1
¹Ì½¶·©°¡ÀÌµå 2024,78600000,0,1,googleOpenKeywords,1
