,searchVolume,countDaumADs,tistoryRank,provider,depth
이케아 홈페이지,546000,10,18,daumOpenKeywords,0
이케아 철제 캐비넷,29000,13,16,daumOpenKeywords,1
이케아 수납박스,365000,16,18,googleOpenKeywords,1
이케아 정리박스,715000,6,18,googleOpenKeywords,1
이케아 수납바구니,278000,9,13,daumOpenKeywords,1
이케아 정리함,340000,9,17,daumOpenKeywords,1
이케아 스쿠브,18600,8,13,googleOpenKeywords,1
이케아 주방수납장,484000,16,17,daumOpenKeywords,1
이케아 서랍장,518000,18,16,daumOpenKeywords,1
이케아 수납장,617000,18,14,googleOpenKeywords,0
이케아 수납장 추천,379000,13,6,googleOpenKeywords,1
이케아수납장 인테리어,529000,8,15,googleSuggestKeywords,1
이케아 철제수납장,194000,16,17,googleOpenKeywords,1
이케아 벽선반,387000,11,14,googleOpenKeywords,1
이케아 선반 수납장,388000,9,22,daumSuggestKeywords,1
이케아 선반,797000,16,15,googleOpenKeywords,0
이케아 철제선반,299000,13,16,googleOpenKeywords,1
이케아 베드보 식탁,32200,0,5,daumOpenKeywords,1
이케아 우토케르,1030,5,8,daumOpenKeywords,1
이케아 암체어,77100,12,16,googleOpenKeywords,1
이케아 스테 나 레드,22600,0,10,googleOpenKeywords,1
이케아 어느나라,351000,5,11,daumOpenKeywords,1
이케아 비우르스타 확장형,5850,0,10,daumOpenKeywords,1
이케아 나라,731000,5,10,daumOpenKeywords,1
이케아 본사 위치,183000,7,12,googleOpenKeywords,1
이케아 창업자,144000,7,10,googleOpenKeywords,1
이케아 식탁의자,536000,14,14,daumOpenKeywords,1
이케아 책상의자,634000,18,14,daumOpenKeywords,1
이케아 의자,1400000,17,16,googleOpenKeywords,0
이케아 의자 추천,614000,12,11,googleOpenKeywords,1
이케아의자 마르쿠스,9680,5,14,googleOpenKeywords,1
이케아 스툴의자,191000,9,13,daumSuggestKeywords,1
이케아 풋스툴,42200,9,15,daumOpenKeywords,1
이케아 스툴,264000,12,14,googleOpenKeywords,0
이케아 수납 스툴,149000,5,15,googleOpenKeywords,1
이케아 소파 스툴,148000,3,14,googleOpenKeywords,1
이케아 평직러그,11600,5,12,daumOpenKeywords,1
이케아 원형 러그,90600,8,13,daumOpenKeywords,1
이케아 러그,334000,12,18,daumOpenKeywords,0
이케아 단모러그,23500,5,14,daumSuggestKeywords,1
이케아 러그 추천,169000,2,16,googleOpenKeywords,1
이케아 러그 후기,62400,1,2,googleOpenKeywords,1
이케아 본사,371000,7,12,daumOpenKeywords,1
이케아 피엘보,15600,6,14,daumOpenKeywords,0
이케아 브랜드 아이덴티티,18500,0,14,googleOpenKeywords,0
이케아 마케팅 전략,334000,0,9,googleOpenKeywords,1
이케아 레르베리,27000,7,15,daumOpenKeywords,1
이케아 뫼르뷜롱아,793,5,15,daumOpenKeywords,0
이케아 브랜드 전략,670000,0,10,googleOpenKeywords,0
이케아 슬로건,42400,0,9,googleOpenKeywords,1
이케아 국적,118000,6,8,daumOpenKeywords,1
이케아 추천상품,1020000,9,8,daumOpenKeywords,1
이케아 패밀리 가입비,2030,0,5,daumOpenKeywords,1
고양 이케아,331000,5,1,daumOpenKeywords,1
이케아 패밀리 가입,72000,0,6,daumSuggestKeywords,1
이케아 패밀리 침대,151000,2,16,daumSuggestKeywords,1
이케아 패밀리 회비,1380,0,7,googleOpenKeywords,1
이케아 패밀리 유료,34200,0,4,googleOpenKeywords,1
이케아 퓌레스달,1690,5,8,daumOpenKeywords,0
이케아 만든 나라,313000,7,14,googleOpenKeywords,0
이케아 기업소개,741000,5,7,googleOpenKeywords,0
이케아 공간박스,550000,9,11,daumOpenKeywords,0
이케아 경영전략,494000,0,6,googleOpenKeywords,0
성공적인 경영전략 사례,936000,1,3,googleOpenKeywords,1
경영전략 사례 ppt,9110000,0,6,googleSuggestKeywords,1
이케아 성공요인,236000,5,9,googleOpenKeywords,1
이케아 모슬란다,2280,7,15,daumOpenKeywords,0
이케아 피엘보 선반,7780,1,14,googleOpenKeywords,1
이케아 레르 베리,24300,9,15,googleSuggestKeywords,1
피엘보 노트북 책상,13100,0,8,googleOpenKeywords,1
이케아 락캅텐,4670,3,15,daumOpenKeywords,1
이케아 할인 코드,365000,1,11,googleOpenKeywords,1
이케아 대형 액자,107000,5,18,googleOpenKeywords,1
이케아 쇠데르함,8060,5,15,daumOpenKeywords,1
이케아 한국 매장,580000,4,15,googleOpenKeywords,1
이케아 온라인몰,267000,14,13,googleOpenKeywords,1
이케아 뉘모네,6200,8,15,daumOpenKeywords,1
이케아 코워커 후기,9510,0,1,googleOpenKeywords,1
이케아 취업 후기,257000,7,3,googleSuggestKeywords,1
이케아 근무 후기,203000,0,3,googleOpenKeywords,1
이케아 역사,599000,7,14,googleOpenKeywords,0
이케아 베드보,56000,5,15,daumOpenKeywords,0
이케아 클렙스타드,3210,5,15,daumOpenKeywords,0
이케아 퓌레스달 후기,NODATA,0,6,googleOpenKeywords,1
이케아 데이베드 사용기,1520,0,4,googleOpenKeywords,1
이케아 차별화 전략,212000,0,1,googleOpenKeywords,1
이케아 코리아,984000,12,14,googleOpenKeywords,1
이케아 조명,1130000,13,10,daumOpenKeywords,1
이케아 옷장,304000,14,17,daumOpenKeywords,1
이케아 가구,2130000,18,15,googleSuggestKeywords,1
IKEA,940000000,17,16,googleOpenKeywords,1
이케아 라크,21200,7,15,googleOpenKeywords,1
이케아 사이드테이블,277000,10,19,googleOpenKeywords,1
클렙스타드 미닫이 후기,504,0,4,googleOpenKeywords,1
이케아 클렙스타드 후기,764,0,3,googleOpenKeywords,1
이케아 에케달렌,3330,6,14,googleOpenKeywords,1
이케아 라운드 테이블,165000,5,20,googleOpenKeywords,1
이케아 온라인 쇼핑몰,343000,18,14,daumSuggestKeywords,1
이케아몰,897000,13,16,daumOpenKeywords,1
이케아,5130000,16,12,googleSuggestKeywords,0
바르셀로나 캄프누 경기장,37500,3,1,daumOpenKeywords,1
스페인 바르셀로나,7380000,9,9,daumOpenKeywords,1
바르셀로나 캄프누 투어,26300,1,12,googleSuggestKeywords,1
바르셀로나 홈구장,246000,5,6,googleOpenKeywords,1
캄프누 리모델링,3270,1,11,daumSuggestKeywords,1
누캄프,142000,1,12,daumOpenKeywords,1
캄프 누,226000,8,14,daumOpenKeywords,0
캄프 누 리모델링,4390,3,11,googleOpenKeywords,1
캄프 누의 기적,19700,0,7,googleOpenKeywords,1
바르셀로나 캄프누,77700,5,1,daumOpenKeywords,0
,NODATA,0,1,googleSuggestKeywords,0
이케아 명언,49300,0,1,googleSuggestKeywords,0
이케아 부르비크,2440,5,12,daumOpenKeywords,0
이케아 전략,894000,0,9,googleOpenKeywords,0
이케아 설립자,93500,7,10,googleOpenKeywords,0
이케아 조직도,111000,7,13,googleSuggestKeywords,0
아이케아 이케아,2560000,0,7,googleOpenKeywords,0
이케아 비전,449000,0,10,googleOpenKeywords,0
이케아 패밀리,288000,6,9,daumOpenKeywords,0
이케아 어느나라 브랜드,264000,3,9,daumOpenKeywords,0
이케아 스투크 수납박스,6420,4,15,daumOpenKeywords,0
