,searchVolume,countDaumADs,tistoryRank,provider,depth
사투리 모음,5260000,3,1,daumOpenKeywords,1
되다 사투리,390000,1,7,daumOpenKeywords,1
경상도 사투리,2200000,4,1,daumOpenKeywords,1
짜치다 디시,28400,0,1,googleOpenKeywords,0
짜치다 밈,20100,0,1,googleOpenKeywords,1
짜치다 짜고치다,17000,0,13,googleOpenKeywords,1
디시갤,33000000,3,1,daumOpenKeywords,1
디시위키,105000000,0,1,daumOpenKeywords,1
디시 갤러리,37300000,0,1,daumOpenKeywords,1
,NODATA,0,1,googleSuggestKeywords,1
짜치다 사투리,22900,0,1,googleOpenKeywords,0
짜치다 나무위키,58500,0,1,googleOpenKeywords,1
녹녹하다 뜻,18100,0,5,googleSuggestKeywords,1
녹록하지 않다,63200,0,1,googleSuggestKeywords,1
짜치다,194000,0,10,googleSuggestKeywords,1
짜친다 뜻,173000,0,10,daumOpenKeywords,1
개걸스럽다 뜻,5720,0,1,daumOpenKeywords,1
갱얼쥐 뜻,11900,0,4,daumOpenKeywords,1
짜치다 뜻,88800,0,10,daumOpenKeywords,0
쪼들리다,14400,0,10,daumOpenKeywords,0
짜치다 meaning,90500,0,16,googleOpenKeywords,0
