,searchVolume,countDaumADs,tistoryRank,provider,depth
포르쉐 홈페이지,746000,16,1,daumOpenKeywords,0
포르쉐 911 페이스 리프트,95600,2,10,daumOpenKeywords,1
포르쉐 리스,1110000,17,1,daumOpenKeywords,1
포르쉐 미션 R,131000,0,1,googleOpenKeywords,0
포르쉐 미션 X,194000,2,18,googleOpenKeywords,1
포르쉐 변속기,NODATA,9,5,googleOpenKeywords,1
포르쉐 자동차,6710000,10,14,daumOpenKeywords,1
포르쉐 뜻,924000,0,16,daumOpenKeywords,0
포르쉐 미션 E,194000,4,14,googleOpenKeywords,0
포르쉐 가격 순위,748000,11,1,googleOpenKeywords,1
포르쉐 자동차 가격,NODATA,10,18,daumOpenKeywords,1
포르쉐 승용차 가격,NODATA,9,3,daumOpenKeywords,1
포르쉐 나라,1210000,4,13,googleOpenKeywords,0
포르쉐 종류,NODATA,17,3,daumOpenKeywords,0
포르쉐 911,1410000,17,25,googleOpenKeywords,0
포르쉐 911 역사,113000,13,16,googleSuggestKeywords,1
포르쉐 브랜드 이미지,1290000,0,6,googleOpenKeywords,0
포르쉐 라인업,1110000,11,11,googleOpenKeywords,0
포르쉐 코리아 채용,728000,2,1,daumOpenKeywords,1
벤츠 코리아,NODATA,18,14,daumOpenKeywords,1
포르쉐 마칸,474000,18,10,daumOpenKeywords,1
포르쉐 코리아,3020000,9,1,daumOpenKeywords,0
포르쉐 클럽 코리아,1020000,4,11,daumSuggestKeywords,1
포르쉐 파이낸셜 서비스 코리아,72500,0,10,daumSuggestKeywords,1
포르쉐코리아 채용,754000,4,1,googleOpenKeywords,1
포르쉐 카이엔,NODATA,17,15,daumOpenKeywords,1
포르쉐 가격표,NODATA,15,21,googleOpenKeywords,0
킥보드,11600000,16,8,daumOpenKeywords,1
포르쉐 4000만원,477000,0,17,daumOpenKeywords,0
포르쉐 4000만원 보배드림,102000,0,10,googleSuggestKeywords,1
포르쉐 4000만원 보배,90200,0,18,googleSuggestKeywords,1
포르쉐 디자인 선글라스,56500,8,12,daumSuggestKeywords,1
포르쉐 디자인 지갑,287000,0,17,daumOpenKeywords,1
포르쉐 디자인 시계,252000,7,14,googleOpenKeywords,1
포르쉐 디자인 안경테,80600,7,14,daumSuggestKeywords,1
포르쉐 디자인,3450000,18,9,daumOpenKeywords,0
포르쉐디자인 선글라스,68800,8,12,googleOpenKeywords,1
포르쉐디자인 안경,114000,2,14,googleOpenKeywords,1
포르쉐 국적,717000,10,11,daumOpenKeywords,0
포르쉐 신차 가격표,255000,12,3,daumOpenKeywords,1
포르쉐 suv가격표,NODATA,13,11,daumOpenKeywords,1
포르쉐 SUV 가격,NODATA,10,11,googleOpenKeywords,1
포르쉐 신차 가격,NODATA,15,1,googleOpenKeywords,1
포르쉐 911 가격,NODATA,15,1,daumSuggestKeywords,1
포르쉐 박스터,NODATA,17,1,googleOpenKeywords,1
포르쉐 911 카레라 4s,NODATA,15,1,daumSuggestKeywords,1
포르쉐 911 가격표,NODATA,13,1,googleSuggestKeywords,1
포르쉐 911 풀옵션 가격,53600,4,5,googleOpenKeywords,1
포르쉐 911 중고 가격,69100,15,11,googleOpenKeywords,1
