,searchVolume,countDaumADs,tistoryRank,provider,depth
포르쉐 자동차,6710000,10,14,daumOpenKeywords,1
포르쉐 뜻,709000,0,13,daumOpenKeywords,0
포르쉐 미션 E,194000,2,14,googleOpenKeywords,1
포르쉐 미션 X,209000,0,18,googleOpenKeywords,1
포르쉐 가격 순위,748000,11,1,googleOpenKeywords,1
포르쉐 자동차 가격,NODATA,8,17,daumOpenKeywords,1
포르쉐 미션 R,97700,0,1,googleOpenKeywords,0
포르쉐 나라,1100000,4,12,googleOpenKeywords,0
포르쉐 홈페이지,746000,16,1,daumOpenKeywords,0
포르쉐 911,1750000,17,25,googleOpenKeywords,0
포르쉐 911 역사,113000,11,15,googleSuggestKeywords,1
포르쉐 브랜드 이미지,1430000,0,12,googleSuggestKeywords,0
킥보드,10200000,18,11,daumOpenKeywords,1
포르쉐 4000만원,477000,0,16,daumOpenKeywords,0
포르쉐 4000만원 보배드림,102000,0,10,googleSuggestKeywords,1
포르쉐 디자인 선글라스,57300,6,12,daumSuggestKeywords,1
포르쉐 디자인 지갑,287000,0,17,daumOpenKeywords,1
포르쉐 디자인 안경테,80600,5,14,daumSuggestKeywords,1
포르쉐 디자인 시계,252000,5,14,googleOpenKeywords,1
포르쉐디자인 선글라스,71700,8,12,googleOpenKeywords,1
포르쉐 신차 가격표,255000,11,3,daumSuggestKeywords,1
포르쉐 suv가격표,NODATA,12,11,daumOpenKeywords,1
포르쉐 가격표,NODATA,15,20,googleOpenKeywords,0
포르쉐 SUV 가격,NODATA,10,9,googleOpenKeywords,1
포르쉐 911 가격,329000,15,15,daumSuggestKeywords,1
포르쉐 카이엔,NODATA,17,12,daumOpenKeywords,1
포르쉐 911 가격표,20600,12,9,googleOpenKeywords,1
포르쉐 911 풀옵션 가격,53600,2,5,googleOpenKeywords,1
포르쉐 종류,NODATA,17,3,daumOpenKeywords,0
포르쉐 911 신형,205000,15,17,daumOpenKeywords,1
포르쉐 신형 파나메라,237000,10,12,daumSuggestKeywords,1
포르쉐 신형,1420000,15,13,daumOpenKeywords,0
포르쉐 신형 가격,1090000,10,5,googleOpenKeywords,1
포르쉐 118 가격,111000,9,14,googleOpenKeywords,1
포르쉐 718,295000,16,14,daumOpenKeywords,1
포르쉐 118,235000,14,13,daumOpenKeywords,0
포르쉐 718 박스터 GTS 가격,23100,2,12,googleOpenKeywords,1
포르쉐 제조국,38600,9,13,daumOpenKeywords,1
포르쉐 코리아,3110000,7,1,googleOpenKeywords,1
포르쉐 마크,887000,8,20,daumOpenKeywords,0
포르쉐 매장,711000,17,7,daumOpenKeywords,1
포르쉐 로고,1120000,17,18,daumOpenKeywords,0
핑크 포르쉐 가격,354000,9,14,googleOpenKeywords,1
포르쉐 타이칸 핑크 가격,49100,5,7,googleOpenKeywords,1
페라리 마크,471000,2,9,googleOpenKeywords,1
람보르기니 마크,413000,12,14,googleOpenKeywords,1
페라리 포르쉐 마크,110000,0,12,googleSuggestKeywords,1
포르쉐 현실,1230000,0,15,googleOpenKeywords,0
포르쉐 박스터 현실,18800,12,16,googleSuggestKeywords,1
포르쉐 페라리,1080000,2,9,daumOpenKeywords,1
포르쉐 페라리 마크,106000,2,14,daumOpenKeywords,1
페르디난트 포르쉐,28600,0,13,googleSuggestKeywords,0
페르디난트 포르쉐 명언,699,0,13,googleOpenKeywords,0
프란츠 페르디난트,61000,0,10,daumOpenKeywords,1
페르디난트 2세,124000,0,8,daumOpenKeywords,1
,NODATA,0,1,googleSuggestKeywords,0
포르쉐 파나메라4,328000,16,1,daumOpenKeywords,1
포르쉐 파나메라 풀체인지,57800,2,11,daumOpenKeywords,1
포르쉐 파나메라 논란,43500,0,13,googleSuggestKeywords,0
포르쉐 어느나라차,618000,3,11,daumOpenKeywords,1
포르쉐 만든나라,584000,9,13,daumOpenKeywords,1
페라리 나라,784000,0,not Defined,googleOpenKeywords,1
포르쉐 디자인,3450000,18,9,daumOpenKeywords,0
핑크 포르쉐,818000,3,16,daumOpenKeywords,0
포르쉐 온라인 샵,1440000,9,14,googleOpenKeywords,1
포르쉐 인테리어,502000,9,9,googleOpenKeywords,1
포르쉐 굿즈,489000,2,14,googleOpenKeywords,0
포르쉐 테큅먼트,7030,0,1,googleSuggestKeywords,1
포르쉐 마칸,474000,18,9,daumOpenKeywords,1
포르쉐 suv 종류,NODATA,17,1,daumSuggestKeywords,1
포르쉐 종류 가격,325000,10,1,googleOpenKeywords,1
페르디난트 구축전차,29300,0,1,googleSuggestKeywords,1
포르쉐 가문,168000,10,11,googleOpenKeywords,1
페라리 로고,621000,10,13,googleOpenKeywords,1
람보르기니 로고,632000,12,20,daumOpenKeywords,1
포르쉐 로고 ai,559000,0,1,googleSuggestKeywords,1
포르쉐 로고 의미,363000,9,12,googleOpenKeywords,1
포르쉐 악세사리,396000,18,13,googleOpenKeywords,0
포르쉐 논란,1590000,0,17,googleSuggestKeywords,0
페리 포르쉐,282000,0,18,googleOpenKeywords,0
포르쉐 브랜드,2770000,11,8,googleSuggestKeywords,0
포르쉐 제조사,1100000,11,17,daumOpenKeywords,0
포르쉐 역사,1140000,10,17,googleOpenKeywords,0
포르쉐 미션 X 가격,154000,0,1,googleOpenKeywords,0
