,searchVolume,countDaumADs,tistoryRank,provider,depth
피자헛 방문포장 할인,75700,6,2,googleSuggestKeywords,0
피자헛 방문포장 1+1,108000,2,1,googleOpenKeywords,0
피자헛 40%방문포장 할인,183000,0,1,daumOpenKeywords,1
피자헛 포장할인,215000,2,1,daumOpenKeywords,1
피자헛 방문포장 40,165000,0,1,googleOpenKeywords,1
피자헛 1+1 이벤트,374000,1,12,googleOpenKeywords,1
피자헛 오늘의 피자,746000,1,5,googleOpenKeywords,1
도미노피자 방문포장 1+1,260000,0,4,daumOpenKeywords,1
피자헛 방문포장 50,79800,2,12,googleOpenKeywords,0
피자헛 할인,359000,8,7,daumOpenKeywords,1
도미노피자 1+1,3900000,3,1,googleOpenKeywords,1
피자헛 홈페이지,276000,4,1,daumOpenKeywords,1
피자헛 15000원,60400,1,1,daumOpenKeywords,1
피자헛 이벤트,396000,2,1,daumOpenKeywords,1
피자헛 신제품,223000,2,13,daumOpenKeywords,1
피자헛 5000원 후기,219000,1,2,googleOpenKeywords,1
피자헛 5000원 디시,72100,1,10,googleOpenKeywords,1
피자헛 할인방법,207000,5,1,googleOpenKeywords,0
피자헛 메뉴,1240000,7,11,daumOpenKeywords,1
도미노 방문포장 할인,174000,1,2,daumOpenKeywords,1
피자헛 할인 요일,7790,3,6,googleOpenKeywords,0
피자헛 요일할인,10200,2,6,daumOpenKeywords,1
피자헛 요일별 할인,10900,1,1,daumOpenKeywords,1
피자헛 할인받는방법,218000,3,2,daumOpenKeywords,0
도미노피자 요일할인,11800,1,2,daumOpenKeywords,1
피자헛 50%할인,269000,3,1,daumOpenKeywords,1
피자헛 50% 할인쿠폰,7810000,3,3,daumOpenKeywords,0
피자헛 쿠폰 온라인전용,218000,4,8,daumOpenKeywords,0
피자헛 온라인 주문,186000,3,1,daumOpenKeywords,1
피자헛 쿠폰 2023,167000,0,1,googleOpenKeywords,1
피자헛 e쿠폰 메뉴변경,44900,1,5,googleOpenKeywords,1
피자헛 인기메뉴,1530000,3,7,daumOpenKeywords,1
피자헛 5000원,191000,3,1,googleSuggestKeywords,0
피자헛 e쿠폰,2720000,8,1,daumOpenKeywords,0
도미노피자,3840000,12,11,googleOpenKeywords,1
